GEO_ID,NAME,TOTAL,WHITE,BLACK,AIAH,ASIAN,NHOPI,OTHER,TWOMORE
1500000US421010010012,"Block Group 2, Census Tract 10.01, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1500000US421010010013,"Block Group 3, Census Tract 10.01, Philadelphia County, Pennsylvania",1806,1618,25,1,101,0,4,57
1500000US421010010021,"Block Group 1, Census Tract 10.02, Philadelphia County, Pennsylvania",2194,1872,104,5,109,0,15,89
1500000US421010010022,"Block Group 2, Census Tract 10.02, Philadelphia County, Pennsylvania",722,610,13,0,33,0,12,54
1500000US421010010023,"Block Group 3, Census Tract 10.02, Philadelphia County, Pennsylvania",245,123,113,1,3,0,4,1
1500000US421010010024,"Block Group 4, Census Tract 10.02, Philadelphia County, Pennsylvania",1490,1201,42,0,129,0,20,98
1500000US421010011011,"Block Group 1, Census Tract 11.01, Philadelphia County, Pennsylvania",1188,646,346,6,79,0,37,74
1500000US421010011012,"Block Group 2, Census Tract 11.01, Philadelphia County, Pennsylvania",1181,863,107,2,117,0,18,74
1500000US421010011013,"Block Group 3, Census Tract 11.01, Philadelphia County, Pennsylvania",1129,829,58,2,95,0,31,114
1500000US421010011014,"Block Group 4, Census Tract 11.01, Philadelphia County, Pennsylvania",799,568,102,0,48,0,26,55
1500000US421010011021,"Block Group 1, Census Tract 11.02, Philadelphia County, Pennsylvania",1729,1376,59,0,137,2,26,129
1500000US421010011022,"Block Group 2, Census Tract 11.02, Philadelphia County, Pennsylvania",518,377,25,0,56,1,20,39
1500000US421010011023,"Block Group 3, Census Tract 11.02, Philadelphia County, Pennsylvania",553,429,23,0,49,0,7,45
1500000US421010012011,"Block Group 1, Census Tract 12.01, Philadelphia County, Pennsylvania",869,690,7,1,59,0,17,95
1500000US421010012012,"Block Group 2, Census Tract 12.01, Philadelphia County, Pennsylvania",1101,947,26,1,54,0,15,58
1500000US421010012013,"Block Group 3, Census Tract 12.01, Philadelphia County, Pennsylvania",1020,773,34,2,111,0,11,89
1500000US421010012014,"Block Group 4, Census Tract 12.01, Philadelphia County, Pennsylvania",963,779,13,0,65,0,5,101
1500000US421010012031,"Block Group 1, Census Tract 12.03, Philadelphia County, Pennsylvania",995,777,37,1,82,0,14,84
1500000US421010012032,"Block Group 2, Census Tract 12.03, Philadelphia County, Pennsylvania",832,692,14,1,74,0,7,44
1500000US421010012041,"Block Group 1, Census Tract 12.04, Philadelphia County, Pennsylvania",1808,1436,49,0,184,1,32,106
1500000US421010012042,"Block Group 2, Census Tract 12.04, Philadelphia County, Pennsylvania",1237,978,63,0,94,1,21,80
1500000US421010012043,"Block Group 3, Census Tract 12.04, Philadelphia County, Pennsylvania",969,743,63,0,76,0,16,71
1500000US421010013011,"Block Group 1, Census Tract 13.01, Philadelphia County, Pennsylvania",877,585,140,5,65,0,3,79
1500000US421010013012,"Block Group 2, Census Tract 13.01, Philadelphia County, Pennsylvania",794,433,248,1,57,0,6,49
1500000US421010013021,"Block Group 1, Census Tract 13.02, Philadelphia County, Pennsylvania",810,551,138,0,57,0,15,49
1500000US421010013022,"Block Group 2, Census Tract 13.02, Philadelphia County, Pennsylvania",963,629,190,0,58,0,8,78
1500000US421010013023,"Block Group 3, Census Tract 13.02, Philadelphia County, Pennsylvania",882,551,157,0,72,0,20,82
1500000US421010013024,"Block Group 4, Census Tract 13.02, Philadelphia County, Pennsylvania",2447,1773,106,0,356,0,10,202
1500000US421010014001,"Block Group 1, Census Tract 14, Philadelphia County, Pennsylvania",1672,1254,157,1,124,0,24,112
1500000US421010014002,"Block Group 2, Census Tract 14, Philadelphia County, Pennsylvania",849,645,81,3,48,0,8,64
1500000US421010014003,"Block Group 3, Census Tract 14, Philadelphia County, Pennsylvania",2215,1415,461,3,164,0,29,143
1500000US421010015001,"Block Group 1, Census Tract 15, Philadelphia County, Pennsylvania",1120,884,46,0,101,0,22,67
1500000US421010015002,"Block Group 2, Census Tract 15, Philadelphia County, Pennsylvania",2218,1393,361,0,244,0,47,173
1500000US421010016001,"Block Group 1, Census Tract 16, Philadelphia County, Pennsylvania",1239,977,68,1,70,0,25,98
1500000US421010016002,"Block Group 2, Census Tract 16, Philadelphia County, Pennsylvania",1426,1182,25,1,66,0,25,127
1500000US421010017001,"Block Group 1, Census Tract 17, Philadelphia County, Pennsylvania",1342,1095,36,1,57,2,28,123
1500000US421010017002,"Block Group 2, Census Tract 17, Philadelphia County, Pennsylvania",1655,1332,78,4,94,1,22,124
1500000US421010018001,"Block Group 1, Census Tract 18, Philadelphia County, Pennsylvania",2283,1838,79,3,142,0,44,177
1500000US421010018002,"Block Group 2, Census Tract 18, Philadelphia County, Pennsylvania",1193,572,388,3,108,0,22,100
1500000US421010019001,"Block Group 1, Census Tract 19, Philadelphia County, Pennsylvania",1101,716,216,1,45,0,16,107
1500000US421010019002,"Block Group 2, Census Tract 19, Philadelphia County, Pennsylvania",1758,1131,320,7,143,0,34,123
1500000US421010019003,"Block Group 3, Census Tract 19, Philadelphia County, Pennsylvania",1224,683,300,1,104,0,32,104
1500000US421010020001,"Block Group 1, Census Tract 20, Philadelphia County, Pennsylvania",1543,641,703,2,73,0,42,82
1500000US421010020002,"Block Group 2, Census Tract 20, Philadelphia County, Pennsylvania",994,280,564,9,64,0,31,46
1500000US421010021001,"Block Group 1, Census Tract 21, Philadelphia County, Pennsylvania",812,280,415,3,41,0,18,55
1500000US421010021002,"Block Group 2, Census Tract 21, Philadelphia County, Pennsylvania",1650,810,577,13,94,0,55,101
1500000US421010022001,"Block Group 1, Census Tract 22, Philadelphia County, Pennsylvania",848,418,240,0,66,0,32,92
